.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
119 61 0
119 61 0
119 60 0
118 59 0
118 58 0
118 57 0
117 56 0
116 55 0
115 54 0
115 53 0
113 52 0
111 52 0
110 52 0
107 52 0
104 52 0
102 52 0
100 52 0
99 53 0
98 55 0
97 56 0
96 58 0
94 61 0
93 65 0
92 67 0
92 71 0
92 75 0
92 77 0
92 79 0
93 81 0
94 82 0
95 82 0
96 82 0
99 82 0
103 82 0
107 80 0
109 79 0
111 77 0
113 75 0
114 73 0
116 72 0
116 70 0
116 67 0
117 65 0
118 64 0
118 63 0
118 62 0
118 61 0
118 60 0
118 62 0
118 67 0
118 71 0
118 77 0
118 83 0
118 89 0
118 94 0
119 100 0
119 104 0
119 106 0
119 108 0
119 109 0
119 110 0
119 109 0
119 108 0
121 106 0
124 103 0
127 100 0
130 95 0
132 91 0
133 88 0
135 86 0
135 84 0
135 83 0
.PEN_UP
